SYMBOL,COMPANY_NAME,SECTOR
JYOTHYLAB,Jyothy Labs Limited,Nifty Pharma
JYOTICNC,Jyoti CNC Automation Limited,Nifty Auto
JYOTISTRUC,Jyoti Structures Limited,Nifty 50
KABRAEXTRU,Kabra Extrusion Technik Limited,Nifty IT
KAJARIACER,Kajaria Ceramics Limited,Nifty 50
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Nifty 50
KALAMANDIR,Sai Silks (Kalamandir) Limited,Nifty 50
KALPATARU,Kalpataru Limited,Nifty 50
KALYANI,Kalyani Commercials Limited,Nifty 50
KALYANIFRG,Kalyani Forge Limited,Nifty 50
KALYANKJIL,Kalyan Jewellers India Limited,Nifty 50
KAMATHOTEL,Kamat Hotels (I) Limited,Nifty 50
KAMDHENU,Kamdhenu Limited,Nifty 50
KAMOPAINTS,Kamdhenu Ventures Limited,Nifty 50
KANANIIND,Kanani Industries Limited,Nifty 50
KANORICHEM,Kanoria Chemicals & Industries Limited,Nifty 50
KANPRPLA,Kanpur Plastipack Limited,Nifty 50
KANSAINER,Kansai Nerolac Paints Limited,Nifty 50
KAPSTON,Kapston Services Limited,Nifty 50
KARMAENG,Karma Energy Limited,Nifty Energy
KARURVYSYA,Karur Vysya Bank Limited,Nifty Bank
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Nifty Realty
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,Nifty IT
KAYA,Kaya Limited,Nifty 50
KAYNES,Kaynes Technology India Limited,Nifty IT
KCP,KCP Limited,Nifty 50
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Nifty 50
KDDL,KDDL Limited,Nifty 50
KEC,KEC International Limited,Nifty 50
KECL,Kirloskar Electric Company Limited,Nifty 50
KEEPLEARN,DSJ Keep Learning Limited,Nifty 50
KEI,KEI Industries Limited,Nifty 50
KELLTONTEC,Kellton Tech Solutions Limited,Nifty IT
KERNEX,Kernex Microsystems (India) Limited,Nifty IT
KESORAMIND,Kesoram Industries Limited,Nifty 50
KEYFINSERV,Keynote Financial Services Limited,Nifty Financial Services
KFINTECH,Kfin Technologies Limited,Nifty IT
KHADIM,Khadim India Limited,Nifty 50
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Nifty 50
KHAITANLTD,Khaitan (India) Limited,Nifty 50
KHANDSE,Khandwala Securities Limited,Nifty Financial Services
KICL,Kalyani Investment Company Limited,Nifty Financial Services
KILITCH,Kilitch Drugs (India) Limited,Nifty Pharma
KIMS,Krishna Institute of Medical Sciences Limited,Nifty 50
KINGFA,Kingfa Science & Technology (India) Limited,Nifty IT
KIOCL,KIOCL Limited,Nifty 50
KIRIINDUS,Kiri Industries Limited,Nifty 50
KIRLOSBROS,Kirloskar Brothers Limited,Nifty 50
KIRLOSENG,Kirloskar Oil Engines Limited,Nifty Energy
KIRLOSIND,Kirloskar Industries Limited,Nifty 50
KIRLPNU,Kirloskar Pneumatic Company Limited,Nifty 50
KITEX,Kitex Garments Limited,Nifty 50
KKCL,Kewal Kiran Clothing Limited,Nifty 50
KMEW,Knowledge Marine & Engineering Works Limited,Nifty 50
KMSUGAR,K.M.Sugar Mills Limited,Nifty 50
KNRCON,KNR Constructions Limited,Nifty Realty
KOHINOOR,Kohinoor Foods Limited,Nifty FMCG
KOKUYOCMLN,Kokuyo Camlin Limited,Nifty 50
KOLTEPATIL,Kolte - Patil Developers Limited,Nifty Realty
KOPRAN,Kopran Limited,Nifty 50
KOTAKBANK,Kotak Mahindra Bank Limited,Nifty Private Bank
KOTARISUG,Kothari Sugars And Chemicals Limited,Nifty 50
KOTHARIPET,Kothari Petrochemicals Limited,Nifty Energy
KOTHARIPRO,Kothari Products Limited,Nifty 50
KPEL,K.P. Energy Limited,Nifty Energy
KPIGREEN,KPI Green Energy Limited,Nifty Energy
KPIL,Kalpataru Projects International Limited,Nifty 50
KPITTECH,KPIT Technologies Limited,Nifty IT
KPRMILL,K.P.R. Mill Limited,Nifty 50
KRBL,KRBL Limited,Nifty 50
KREBSBIO,Krebs Biochemicals and Industries Limited,Nifty 50
KRIDHANINF,Kridhan Infra Limited,Nifty 50
KRISHANA,Krishana Phoschem Limited,Nifty 50
KRISHIVAL,Krishival Foods Limited,Nifty FMCG
KRITI,Kriti Industries (India) Limited,Nifty 50
KRITIKA,Kritika Wires Limited,Nifty 50
KRITINUT,Kriti Nutrients Limited,Nifty 50
KRN,KRN Heat Exchanger and Refrigeration Limited,Nifty 50
KRONOX,Kronox Lab Sciences Limited,Nifty Pharma
KROSS,Kross Limited,Nifty 50
KRSNAA,Krsnaa Diagnostics Limited,Nifty 50
KRYSTAL,Krystal Integrated Services Limited,Nifty 50
KSB,Ksb Limited,Nifty 50
KSCL,Kaveri Seed Company Limited,Nifty 50
KSHITIJPOL,Kshitij Polyline Limited,Nifty 50
KSL,Kalyani Steels Limited,Nifty Metal
KSOLVES,Ksolves India Limited,Nifty 50
KTKBANK,The Karnataka Bank Limited,Nifty Bank
KUANTUM,Kuantum Papers Limited,Nifty 50
LAGNAM,Lagnam Spintex Limited,Nifty 50
LAKPRE,Lakshmi Precision Screws Limited,Nifty 50
LAL,Lorenzini Apparels Limited,Nifty 50
LALPATHLAB,Dr. Lal Path Labs Ltd.,Nifty Pharma
LAMBODHARA,Lambodhara Textiles Limited,Nifty 50
LANCORHOL,Lancor Holdings Limited,Nifty Financial Services
LANDMARK,Landmark Cars Limited,Nifty 50
LAOPALA,La Opala RG Limited,Nifty 50
LASA,Lasa Supergenerics Limited,Nifty 50
LATENTVIEW,Latent View Analytics Limited,Nifty 50
LATTEYS,Latteys Industries Limited,Nifty 50
LAURUSLABS,Laurus Labs Limited,Nifty Pharma
LAXMICOT,Laxmi Cotspin Limited,Nifty 50
LAXMIDENTL,Laxmi Dental Limited,Nifty 50
LAXMIINDIA,Laxmi India Finance Limited,Nifty Financial Services
LCCINFOTEC,LCC Infotech Limited,Nifty IT
LEMONTREE,Lemon Tree Hotels Limited,Nifty 50
LEXUS,Lexus Granito (India) Limited,Nifty 50
LFIC,Lakshmi Finance & Industrial Corporation Limited,Nifty Financial Services
LGBBROSLTD,LG Balakrishnan & Bros Limited,Nifty 50
LGHL,Laxmi Goldorna House Limited,Nifty 50
LIBAS,Libas Consumer Products Limited,Nifty FMCG
LIBERTSHOE,Liberty Shoes Limited,Nifty 50
LICHSGFIN,LIC Housing Finance Limited,Nifty Realty
LICI,Life Insurance Corporation Of India,Nifty Financial Services
LIKHITHA,Likhitha Infrastructure Limited,Nifty Realty
LINC,Linc Limited,Nifty 50
LINCOLN,Lincoln Pharmaceuticals Limited,Nifty Pharma
LINDEINDIA,Linde India Limited,Nifty 50
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Nifty 50
LLOYDSENT,Lloyds Enterprises Limited,Nifty 50
LLOYDSME,Lloyds Metals And Energy Limited,Nifty Metal
LMW,LMW Limited,Nifty 50
LODHA,Lodha Developers Limited,Nifty Realty
LOKESHMACH,Lokesh Machines Limited,Nifty 50
LORDSCHLO,Lords Chloro Alkali Limited,Nifty 50
LOTUSDEV,Sri Lotus Developers and Realty Limited,Nifty Realty
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Nifty 50
LOVABLE,Lovable Lingerie Limited,Nifty 50
LOYALTEX,Loyal Textile Mills Limited,Nifty 50
LPDC,Landmark Property Development Company Limited,Nifty 50
LT,Larsen & Toubro Limited,Nifty 50
LTF,L&T Finance Limited,Nifty Financial Services
LTFOODS,LT Foods Limited,Nifty FMCG
LTIM,LTIMindtree Limited,Nifty IT
LTTS,L&T Technology Services Limited,Nifty IT
LUMAXIND,Lumax Industries Limited,Nifty 50
LUMAXTECH,Lumax Auto Technologies Limited,Nifty IT
LUPIN,Lupin Limited,Nifty Pharma
LUXIND,Lux Industries Limited,Nifty 50
LXCHEM,Laxmi Organic Industries Limited,Nifty 50
LYKALABS,Lyka Labs Limited,Nifty Pharma
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Nifty 50
M&M,Mahindra & Mahindra Limited,Nifty Auto
M&MFIN,Mahindra & Mahindra Financial Services Limited,Nifty Financial Services
MAANALU,Maan Aluminium Limited,Nifty Metal
MACPOWER,Macpower CNC Machines Limited,Nifty Energy
MADHAV,Madhav Marbles and Granites Limited,Nifty 50
MADHUCON,Madhucon Projects Limited,Nifty 50
MADRASFERT,Madras Fertilizers Limited,Nifty 50
MAGADSUGAR,Magadh Sugar & Energy Limited,Nifty Energy
MAGNUM,Magnum Ventures Limited,Nifty 50
MAHABANK,Bank of Maharashtra,Nifty PSU Bank
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Nifty 50
MAHASTEEL,Mahamaya Steel Industries Limited,Nifty Metal
MAHEPC,Mahindra EPC Irrigation Limited,Nifty 50
MAHESHWARI,Maheshwari Logistics Limited,Nifty 50
MAHLIFE,Mahindra Lifespace Developers Limited,Nifty Realty
MAHLOG,Mahindra Logistics Limited,Nifty 50
MAHSCOOTER,Maharashtra Scooters Limited,Nifty 50
MAHSEAMLES,Maharashtra Seamless Limited,Nifty 50
MAITHANALL,Maithan Alloys Limited,Nifty 50
MALLCOM,Mallcom (India) Limited,Nifty 50
MALUPAPER,Malu Paper Mills Limited,Nifty 50
MAMATA,Mamata Machinery Limited,Nifty 50
MANAKALUCO,Manaksia Aluminium Company Limited,Nifty Metal
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Nifty Metal
MANAKSIA,Manaksia Limited,Nifty 50
MANAKSTEEL,Manaksia Steels Limited,Nifty Metal
MANALIPETC,Manali Petrochemicals Limited,Nifty Energy
MANAPPURAM,Manappuram Finance Limited,Nifty Financial Services
MANBA,Manba Finance Limited,Nifty Financial Services
MANCREDIT,Mangal Credit and Fincorp Limited,Nifty 50
MANGALAM,Mangalam Drugs And Organics Limited,Nifty Pharma
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,Nifty 50
MANGLMCEM,Mangalam Cement Limited,Nifty 50
MANINDS,Man Industries (India) Limited,Nifty 50
MANINFRA,Man Infraconstruction Limited,Nifty Realty
MANKIND,Mankind Pharma Limited,Nifty Pharma
MANOMAY,Manomay Tex India Limited,Nifty 50
MANORAMA,Manorama Industries Limited,Nifty 50
MANORG,Mangalam Organics Limited,Nifty 50
MANUGRAPH,Manugraph India Limited,Nifty 50
MANYAVAR,Vedant Fashions Limited,Nifty 50
MAPMYINDIA,C.E. Info Systems Limited,Nifty IT
MARALOVER,Maral Overseas Limited,Nifty 50
MARATHON,Marathon Nextgen Realty Limited,Nifty Realty
MARICO,Marico Limited,Nifty FMCG
MARINE,Marine Electricals (India) Limited,Nifty 50
MARKSANS,Marksans Pharma Limited,Nifty Pharma
MARUTI,Maruti Suzuki India Limited,Nifty Auto
MASFIN,MAS Financial Services Limited,Nifty Financial Services
MASKINVEST,Mask Investments Limited,Nifty Financial Services
MASTEK,Mastek Limited,Nifty IT
MASTERTR,Master Trust Limited,Nifty 50
MATRIMONY,Matrimony.Com Limited,Nifty 50
MAWANASUG,Mawana Sugars Limited,Nifty 50
MAXESTATES,Max Estates Limited,Nifty 50
MAXHEALTH,Max Healthcare Institute Limited,Nifty Pharma
MAXIND,Max India Limited,Nifty 50
MAYURUNIQ,Mayur Uniquoters Ltd,Nifty 50
MAZDA,Mazda Limited,Nifty 50
MAZDOCK,Mazagon Dock Shipbuilders Limited,Nifty Realty
MBAPL,Madhya Bharat Agro Products Limited,Nifty FMCG
MBEL,M & B Engineering Limited,Nifty 50
MBLINFRA,MBL Infrastructure Limited,Nifty Realty
MCL,Madhav Copper Limited,Nifty Metal
MCLEODRUSS,Mcleod Russel India Limited,Nifty 50
MCLOUD,Magellanic Cloud Limited,Nifty IT
MCX,Multi Commodity Exchange of India Limited,Nifty 50
MEDANTA,Global Health Limited,Nifty 50
MEDIASSIST,Medi Assist Healthcare Services Limited,Nifty Pharma
MEDICAMEQ,Medicamen Biotech Limited,Nifty IT
MEDICO,Medico Remedies Limited,Nifty 50
MEDPLUS,Medplus Health Services Limited,Nifty 50
MEGASOFT,Megasoft Limited,Nifty Energy
MEGASTAR,Megastar Foods Limited,Nifty FMCG
MEIL,Mangal Electrical Industries Limited,Nifty 50
MENONBE,Menon Bearings Limited,Nifty 50
MEP,MEP Infrastructure Developers Limited,Nifty Realty
METROBRAND,Metro Brands Limited,Nifty 50
METROPOLIS,Metropolis Healthcare Limited,Nifty Pharma
MFML,Mahalaxmi Fabric Mills Limited,Nifty 50
MFSL,Max Financial Services Limited,Nifty Financial Services
MGEL,Mangalam Global Enterprise Limited,Nifty 50
MGL,Mahanagar Gas Limited,Nifty Energy
MHLXMIRU,Mahalaxmi Rubtech Limited,Nifty IT
MHRIL,Mahindra Holidays & Resorts India Limited,Nifty 50
MICEL,MIC Electronics Limited,Nifty 50
MIDHANI,Mishra Dhatu Nigam Limited,Nifty 50
MINDACORP,Minda Corporation Limited,Nifty 50
MINDTECK,Mindteck (India) Limited,Nifty 50
MIRCELECTR,MIRC Electronics Limited,Nifty 50
MIRZAINT,Mirza International Limited,Nifty 50
MITCON,MITCON Consultancy & Engineering Services Limited,Nifty 50
MITTAL,Mittal Life Style Limited,Nifty 50
MKPL,M K Proteins Limited,Nifty 50
MMFL,MM Forgings Limited,Nifty 50
MMP,MMP Industries Limited,Nifty 50
MMTC,MMTC Limited,Nifty 50
MOBIKWIK,One Mobikwik Systems Limited,Nifty IT
MODIRUBBER,Modi Rubber Limited,Nifty 50
MODISONLTD,MODISON LIMITED,Nifty 50
MODTHREAD,Modern Threads (India) Limited,Nifty 50
MOHITIND,Mohit Industries Limited,Nifty 50
MOIL,MOIL Limited,Nifty Metal
MOKSH,Moksh Ornaments Limited,Nifty 50
MOL,Meghmani Organics Limited,Nifty 50
MOLDTECH,Mold-Tek Technologies Limited,Nifty IT
MOLDTKPAC,Mold-Tek Packaging Limited,Nifty 50
MONARCH,Monarch Networth Capital Limited,Nifty Financial Services
MONTECARLO,Monte Carlo Fashions Limited,Nifty 50
MORARJEE,Morarjee Textiles Limited,Nifty 50
MOREPENLAB,Morepen Laboratories Limited,Nifty Pharma
MOSCHIP,Moschip Technologies Limited,Nifty IT
MOTHERSON,Samvardhana Motherson International Limited,Nifty Auto
MOTILALOFS,Motilal Oswal Financial Services Limited,Nifty Financial Services
MOTISONS,Motisons Jewellers Limited,Nifty 50
MOTOGENFIN,The Motor & General Finance Limited,Nifty Financial Services
MPHASIS,MphasiS Limited,Nifty IT
MPSLTD,MPS Limited,Nifty 50
MRF,MRF Limited,Nifty Auto
MRPL,Mangalore Refinery and Petrochemicals Limited,Nifty Energy
MSPL,MSP Steel & Power Limited,Nifty Metal
MSTCLTD,Mstc Limited,Nifty 50
MSUMI,Motherson Sumi Wiring India Limited,Nifty 50
MTARTECH,Mtar Technologies Limited,Nifty IT
MTEDUCARE,MT Educare Limited,Nifty 50
MTNL,Mahanagar Telephone Nigam Limited,Nifty 50
MUFIN,Mufin Green Finance Limited,Nifty Financial Services
MUFTI,Credo Brands Marketing Limited,Nifty 50
MUKANDLTD,Mukand Limited,Nifty 50
MUKKA,Mukka Proteins Limited,Nifty 50
MUKTAARTS,Mukta Arts Limited,Nifty 50
MUNJALAU,Munjal Auto Industries Limited,Nifty Auto
MUNJALSHOW,Munjal Showa Limited,Nifty 50
MURUDCERA,Murudeshwar Ceramics Limited,Nifty 50
MUTHOOTCAP,Muthoot Capital Services Limited,Nifty Financial Services
MUTHOOTFIN,Muthoot Finance Limited,Nifty Financial Services
MUTHOOTMF,Muthoot Microfin Limited,Nifty 50
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Nifty 50
MWL,Mangalam Worldwide Limited,Nifty 50
NACLIND,NACL Industries Limited,Nifty 50
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Nifty 50
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Nifty Realty
NAGREEKEXP,Nagreeka Exports Limited,Nifty 50
NAHARCAP,Nahar Capital and Financial Services Limited,Nifty Financial Services
NAHARINDUS,Nahar Industrial Enterprises Limited,Nifty 50
NAHARPOLY,Nahar Poly Films Limited,Nifty Media
NAHARSPING,Nahar Spinning Mills Limited,Nifty 50
NAM-INDIA,Nippon Life India Asset Management Limited,Nifty 50
NARMADA,Narmada Agrobase Limited,Nifty FMCG
NATCAPSUQ,Natural Capsules Limited,Nifty 50
NATCOPHARM,Natco Pharma Limited,Nifty Pharma
NATHBIOGEN,Nath Bio-Genes (India) Limited,Nifty 50
NATIONALUM,National Aluminium Company Limited,Nifty Metal
NAUKRI,Info Edge (India) Limited,Nifty 50
NAVA,NAVA LIMITED,Nifty 50
NAVINFLUOR,Navin Fluorine International Limited,Nifty 50
NAVKARCORP,Navkar Corporation Limited,Nifty 50
NAVKARURB,Navkar Urbanstructure Limited,Nifty 50
NAVNETEDUL,Navneet Education Limited,Nifty 50
NAZARA,Nazara Technologies Limited,Nifty Media
NBCC,NBCC (India) Limited,Nifty 50
NBIFIN,N. B. I. Industrial Finance Company Limited,Nifty Financial Services
NCC,NCC Limited,Nifty 50
NCLIND,NCL Industries Limited,Nifty 50
NDGL,Naga Dhunseri Group Limited,Nifty 50
NDL,Nandan Denim Limited,Nifty 50
NDLVENTURE,NDL Ventures Limited,Nifty 50
NDRAUTO,Ndr Auto Components Limited,Nifty Auto
NDTV,New Delhi Television Limited,Nifty Media
NDTV-RE,New Delhi Television Limited-RE,Nifty Media
NECCLTD,North Eastern Carrying Corporation Limited,Nifty 50
NECLIFE,Nectar Lifesciences Limited,Nifty Pharma
NELCAST,Nelcast Limited,Nifty 50
NELCO,NELCO Limited,Nifty 50
NEOGEN,Neogen Chemicals Limited,Nifty 50
NESCO,Nesco Limited,Nifty 50
NESTLEIND,Nestle India Limited,Nifty FMCG
NETWEB,Netweb Technologies India Limited,Nifty IT
NETWORK18,Network18 Media & Investments Limited,Nifty Media
NEULANDLAB,Neuland Laboratories Limited,Nifty Pharma
NEWGEN,Newgen Software Technologies Limited,Nifty IT
NEXTMEDIA,Next Mediaworks Limited,Nifty Media
NFL,National Fertilizers Limited,Nifty 50
NGIL,Nakoda Group of Industries Limited,Nifty 50
NGLFINE,NGL Fine-Chem Limited,Nifty 50
NH,Narayana Hrudayalaya Ltd.,Nifty 50
NHPC,NHPC Limited,Nifty 50
NIACL,The New India Assurance Company Limited,Nifty 50
NIBE,NIBE Limited,Nifty 50
NIBL,NRB Industrial Bearings Limited,Nifty 50
NIITLTD,NIIT Limited,Nifty IT
NIITMTS,NIIT Learning Systems Limited,Nifty IT
NILAINFRA,Nila Infrastructures Limited,Nifty Realty
NILASPACES,Nila Spaces Limited,Nifty 50
NILKAMAL,Nilkamal Limited,Nifty 50
NINSYS,NINtec Systems Limited,Nifty IT
NIPPOBATRY,Indo-National Limited,Nifty 50
NIRAJ,Niraj Cement Structurals Limited,Nifty 50
NIRAJISPAT,Niraj Ispat Industries Limited,Nifty 50
NITCO,Nitco Limited,Nifty 50
NITINSPIN,Nitin Spinners Limited,Nifty 50
NITIRAJ,Nitiraj Engineers Limited,Nifty 50
NIVABUPA,Niva Bupa Health Insurance Company Limited,Nifty Financial Services
NKIND,NK Industries Limited,Nifty 50
NLCINDIA,NLC India Limited,Nifty 50
NMDC,NMDC Limited,Nifty Metal
NOCIL,NOCIL Limited,Nifty 50
NOIDATOLL,Noida Toll Bridge Company Limited,Nifty 50
NORBTEAEXP,Norben Tea & Exports Limited,Nifty 50
NORTHARC,Northern Arc Capital Limited,Nifty Financial Services
NOVAAGRI,Nova Agritech Limited,Nifty IT
NPST,Network People Services Technologies Limited,Nifty IT
NRAIL,N R Agarwal Industries Limited,Nifty 50
NRBBEARING,NRB Bearing Limited,Nifty 50
NRL,Nupur Recyclers Limited,Nifty 50
NSIL,Nalwa Sons Investments Limited,Nifty Financial Services
NSLNISP,NMDC Steel Limited,Nifty Metal
NTPC,NTPC Limited,Nifty Energy
NTPCGREEN,NTPC Green Energy Limited,Nifty Energy
NUCLEUS,Nucleus Software Exports Limited,Nifty IT
NURECA,Nureca Limited,Nifty 50
NUVAMA,Nuvama Wealth Management Limited,Nifty 50
NUVOCO,Nuvoco Vistas Corporation Limited,Nifty 50
NYKAA,FSN E-Commerce Ventures Limited,Nifty 50
OAL,Oriental Aromatics Limited,Nifty 50
OBCL,Orissa Bengal Carrier Limited,Nifty 50
OBEROIRLTY,Oberoi Realty Limited,Nifty Realty
OCCLLTD,OCCL Limited,Nifty 50
ODIGMA,Odigma Consultancy Solutions Limited,Nifty IT
OFSS,Oracle Financial Services Software Limited,Nifty IT
OIL,Oil India Limited,Nifty Energy
OILCOUNTUB,Oil Country Tubular Limited,Nifty Energy
OLAELEC,Ola Electric Mobility Limited,Nifty 50
OLECTRA,Olectra Greentech Limited,Nifty IT
OMAXAUTO,Omax Autos Limited,Nifty Auto
OMAXE,Omaxe Limited,Nifty 50
OMINFRAL,OM INFRA LIMITED,Nifty 50
OMKARCHEM,Omkar Speciality Chemicals Limited,Nifty 50
ONELIFECAP,Onelife Capital Advisors Limited,Nifty Financial Services
ONEPOINT,One Point One Solutions Limited,Nifty IT
ONESOURCE,Onesource Specialty Pharma Limited,Nifty Pharma
ONGC,Oil & Natural Gas Corporation Limited,Nifty Energy
ONMOBILE,OnMobile Global Limited,Nifty 50
ONWARDTEC,Onward Technologies Limited,Nifty IT
OPTIEMUS,Optiemus Infracom Limited,Nifty 50
ORBTEXP,Orbit Exports Limited,Nifty 50
ORCHASP,Orchasp Limited,Nifty 50
ORCHPHARMA,Orchid Pharma Limited,Nifty Pharma
ORICONENT,Oricon Enterprises Limited,Nifty 50
ORIENTALTL,Oriental Trimex Limited,Nifty 50
ORIENTBELL,Orient Bell Limited,Nifty 50
ORIENTCEM,Orient Cement Limited,Nifty 50
ORIENTCER,ORIENT CERATECH LIMITED,Nifty IT
ORIENTELEC,Orient Electric Limited,Nifty 50
ORIENTHOT,Oriental Hotels Limited,Nifty 50
ORIENTLTD,Orient Press Limited,Nifty 50
ORIENTPPR,Orient Paper & Industries Limited,Nifty 50
ORIENTTECH,Orient Technologies Limited,Nifty IT
ORISSAMINE,The Orissa Minerals Development Company Limited,Nifty 50
ORTEL,Ortel Communications Limited,Nifty 50
ORTINGLOBE,ORTIN GLOBAL LIMITED,Nifty 50
OSIAHYPER,Osia Hyper Retail Limited,Nifty 50
OSWALAGRO,Oswal Agro Mills Limited,Nifty FMCG
OSWALGREEN,Oswal Greentech Limited,Nifty IT
OSWALPUMPS,Oswal Pumps Limited,Nifty 50
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Nifty 50
PAGEIND,Page Industries Limited,Nifty 50
PAISALO,Paisalo Digital Limited,Nifty IT
PAKKA,PAKKA LIMITED,Nifty 50
PALASHSECU,Palash Securities Limited,Nifty Financial Services
PALREDTEC,Palred Technologies Limited,Nifty IT
PANACEABIO,Panacea Biotec Limited,Nifty 50
PANACHE,Panache Digilife Limited,Nifty 50
PANAMAPET,Panama Petrochem Limited,Nifty Energy
PANSARI,Pansari Developers Limited,Nifty Realty
PAR,Par Drugs And Chemicals Limited,Nifty Pharma
PARACABLES,Paramount Communications Limited,Nifty 50
PARADEEP,Paradeep Phosphates Limited,Nifty 50
PARAGMILK,Parag Milk Foods Limited,Nifty FMCG
PARAS,Paras Defence and Space Technologies Limited,Nifty IT
PARASPETRO,Paras Petrofils Limited,Nifty Energy
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Nifty 50
PARSVNATH,Parsvnath Developers Limited,Nifty Realty
PASHUPATI,Pashupati Cotspin Limited,Nifty 50
PASUPTAC,Pasupati Acrylon Limited,Nifty 50
PATANJALI,Patanjali Foods Limited,Nifty FMCG
PATELENG,Patel Engineering Limited,Nifty 50
PATELRMART,Patel Retail Limited,Nifty 50
PATINTLOG,Patel Integrated Logistics Limited,Nifty 50
PAVNAIND,Pavna Industries Limited,Nifty 50
PAYTM,One 97 Communications Limited,Nifty 50
PCBL,PCBL Chemical Limited,Nifty 50
PCJEWELLER,PC Jeweller Limited,Nifty 50
PDMJEPAPER,Pudumjee Paper Products Limited,Nifty 50
PDSL,PDS Limited,Nifty 50
PEARLPOLY,Pearl Polymers Limited,Nifty 50
PENIND,Pennar Industries Limited,Nifty 50
PENINLAND,Peninsula Land Limited,Nifty 50
PERSISTENT,Persistent Systems Limited,Nifty IT
PETRONET,Petronet LNG Limited,Nifty Energy
PFC,Power Finance Corporation Limited,Nifty Energy
PFIZER,Pfizer Limited,Nifty 50
PFOCUS,Prime Focus Limited,Nifty 50
PFS,PTC India Financial Services Limited,Nifty Financial Services
PGEL,PG Electroplast Limited,Nifty 50
PGHH,Procter & Gamble Hygiene and Health Care Limited,Nifty FMCG
PGHL,Procter & Gamble Health Limited,Nifty 50
PGIL,Pearl Global Industries Limited,Nifty 50
PHOENIXLTD,The Phoenix Mills Limited,Nifty Realty
PICCADIL,Piccadily Agro Industries Limited,Nifty FMCG
PIDILITIND,Pidilite Industries Limited,Nifty 50
PIGL,Power & Instrumentation (Gujarat) Limited,Nifty Energy
PIIND,PI Industries Limited,Nifty 50
PILANIINVS,Pilani Investment and Industries Corporation Limited,Nifty Financial Services
PILITA,PIL ITALICA LIFESTYLE LIMITED,Nifty 50
PIONEEREMB,Pioneer Embroideries Limited,Nifty 50
PITTIENG,Pitti Engineering Limited,Nifty 50
PIXTRANS,Pix Transmissions Limited,Nifty 50
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Nifty 50
PLASTIBLEN,Plastiblends India Limited,Nifty 50
PLATIND,Platinum Industries Limited,Nifty 50
PLAZACABLE,Plaza Wires Limited,Nifty 50
PNB,Punjab National Bank,Nifty PSU Bank
PNBGILTS,PNB Gilts Limited,Nifty 50
PNBHOUSING,PNB Housing Finance Limited,Nifty Realty
PNC,Pritish Nandy Communications Limited,Nifty 50
PNCINFRA,PNC Infratech Limited,Nifty IT
PNGJL,P N Gadgil Jewellers Limited,Nifty 50
POCL,Pondy Oxides & Chemicals Limited,Nifty 50
PODDARMENT,Poddar Pigments Limited,Nifty 50
POKARNA,Pokarna Limited,Nifty 50
POLICYBZR,PB Fintech Limited,Nifty IT
POLYCAB,Polycab India Limited,Nifty 50
POLYMED,Poly Medicure Limited,Nifty 50
POLYPLEX,Polyplex Corporation Limited,Nifty 50
PONNIERODE,Ponni Sugars (Erode) Limited,Nifty 50
POONAWALLA,Poonawalla Fincorp Limited,Nifty 50
POWERGRID,Power Grid Corporation of India Limited,Nifty Energy
POWERINDIA,Hitachi Energy India Limited,Nifty Energy
POWERMECH,Power Mech Projects Limited,Nifty Energy
PPAP,PPAP Automotive Limited,Nifty Auto
PPL,Prakash Pipes Limited,Nifty 50
PPLPHARMA,Piramal Pharma Limited,Nifty Pharma
PRABHA,Prabha Energy Limited,Nifty Energy
PRAENG,Prajay Engineers Syndicate Limited,Nifty 50
PRAJIND,Praj Industries Limited,Nifty 50
PRAKASH,Prakash Industries Limited,Nifty 50
PRAKASHSTL,Prakash Steelage Limited,Nifty Metal
PRAXIS,Praxis Home Retail Limited,Nifty 50
PRECAM,Precision Camshafts Limited,Nifty 50
PRECOT,Precot Limited,Nifty 50
PRECWIRE,Precision Wires India Limited,Nifty 50
PREMEXPLN,Premier Explosives Limited,Nifty 50
PREMIER,Premier Limited,Nifty 50
PREMIERENE,Premier Energies Limited,Nifty 50
PREMIERPOL,Premier Polyfilm Limited,Nifty 50
PRESTIGE,Prestige Estates Projects Limited,Nifty Realty
PRICOLLTD,Pricol Limited,Nifty 50
PRIMESECU,Prime Securities Limited,Nifty Financial Services
PRIMO,Primo Chemicals Limited,Nifty 50
PRINCEPIPE,Prince Pipes And Fittings Limited,Nifty 50
PRITI,Priti International Limited,Nifty 50
